term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
office of statewide health planning and development,38,health,,,California Health and Human Services Open Data Portal,38,,,,,,,,,,
North,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
MLPA,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
nearshore,38,,water,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
Studies,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
Fish,37,environment,,,California Natural Resources Agency Data Portal,37,,,,,,,,,,
Western,35,,,,California Natural Resources Agency Data Portal,35,,,,,,,,,,
California Energy Commission,34,government-services,,,California Natural Resources Agency Data Portal,34,,,,,,,,,,
Lizard,33,environment,,,California Natural Resources Agency Data Portal,33,,,,,,,,,,
abundance,33,,,,California Natural Resources Agency Data Portal,33,,,,,,,,,,
LADOT,32,,,,LA City Geo Hub,32,,,,,,,,,,
sample,32,,,,California Natural Resources Agency Data Portal,32,,,,,,,,,,
Monitoring,31,,,,California Natural Resources Agency Data Portal,31,,,,,,,,,,
county,32,,,,California Health and Human Services Open Data Portal,30,Performance LA,1,SCAG GIS Open Data Portal,1,,,,,,
attributes,30,,,,California Natural Resources Agency Data Portal,30,,,,,,,,,,
special,29,,,,California Natural Resources Agency Data Portal,28,ControlPanel LA,1,,,,,,,,
Northern,28,,,,California Natural Resources Agency Data Portal,28,,,,,,,,,,
monitoring,28,,,,California Natural Resources Agency Data Portal,28,,,,,,,,,,
status,33,,,,California Natural Resources Agency Data Portal,28,California Health and Human Services Open Data Portal,5,,,,,,,,
Marine Protected Area,28,,environment,,California Natural Resources Agency Data Portal,28,,,,,,,,,,
Wildlife,28,environment,,,California Natural Resources Agency Data Portal,28,,,,,,,,,,
California Eligibility and Enrollment Report,28,government-services,,,California Health and Human Services Open Data Portal,28,,,,,,,,,,
hospital,28,health,,,California Health and Human Services Open Data Portal,27,County of Los Angeles Data Portal,1,,,,,,,,
and,27,,,,California Natural Resources Agency Data Portal,27,,,,,,,,,,
energy,36,infrastructure,,,California Natural Resources Agency Data Portal,26,Los Angeles Open Data,5,LA City Geo Hub,3,Performance LA,2,,,,
patient discharge data,26,health,,,California Health and Human Services Open Data Portal,26,,,,,,,,,,
Mouse,26,environment,,,California Natural Resources Agency Data Portal,26,,,,,,,,,,
IAP,25,,,,California Health and Human Services Open Data Portal,25,,,,,,,,,,
CA.ODP,25,,,,California Natural Resources Agency Data Portal,25,,,,,,,,,,
ABX1 1,25,,,,California Health and Human Services Open Data Portal,25,,,,,,,,,,
dhcs,25,,,,California Health and Human Services Open Data Portal,25,,,,,,,,,,
data.ca.gov,25,government-services,,,California Natural Resources Agency Data Portal,25,,,,,,,,,,
SWRCB,25,,,,California Natural Resources Agency Data Portal,25,,,,,,,,,,
social services,25,government-services,,,LA City Geo Hub,25,,,,,,,,,,
Sebastes,24,,,,California Natural Resources Agency Data Portal,24,,,,,,,,,,
hazards,24,natural-disasters,,,LA City Geo Hub,24,,,,,,,,,,
Rockfish,24,environment,,,California Natural Resources Agency Data Portal,24,,,,,,,,,,
Salamander,24,environment,,,California Natural Resources Agency Data Portal,24,,,,,,,,,,
Department of Transportation,23,transportation,,,LA City Geo Hub,23,,,,,,,,,,
education,28,education,,,LA City Geo Hub,23,California Health and Human Services Open Data Portal,2,California Natural Resources Agency Data Portal,1,Los Angeles Open Data,1,ControlPanel LA,1,,
schools,23,education,,,LA City Geo Hub,23,,,,,,,,,,
MapIt,23,environment,,,City of Long Beach Data Portal,23,,,,,,,,,,
Los Angeles Department of Transportation,23,transportation,,,LA City Geo Hub,23,,,,,,,,,,
department of rehabilitation,22,,,,California Health and Human Services Open Data Portal,22,,,,,,,,,,
CDFW,22,,,,California Natural Resources Agency Data Portal,22,,,,,,,,,,
Environmental,22,environment,,,California Natural Resources Agency Data Portal,22,,,,,,,,,,
Biota,22,environment,,,California Natural Resources Agency Data Portal,22,,,,,,,,,,
Department,22,,,,California Natural Resources Agency Data Portal,22,,,,,,,,,,
tree,22,environment,,,California Natural Resources Agency Data Portal,22,,,,,,,,,,
healthcare,22,health,,,California Health and Human Services Open Data Portal,21,ControlPanel LA,1,,,,,,,,
businesses,24,community-economic-development,,,LA City Geo Hub,21,Los Angeles Open Data,2,City of Culver City Data Portal,1,,,,,,
disability,21,health,,,California Health and Human Services Open Data Portal,21,,,,,,,,,,
Project,21,,,,California Natural Resources Agency Data Portal,21,,,,,,,,,,
water,49,water,,,LA City Geo Hub,21,California Natural Resources Agency Data Portal,19,Los Angeles Open Data,6,Performance LA,2,Santa Monica Open Data,1,,
Ecological Data,21,environment,,,California Natural Resources Agency Data Portal,21,,,,,,,,,,
public way reservations,21,,,,LA City Geo Hub,21,,,,,,,,,,
Oncorhynchus,21,,,,California Natural Resources Agency Data Portal,21,,,,,,,,,,
Insurance Affordability Programs,21,health,,,California Health and Human Services Open Data Portal,21,,,,,,,,,,
Medi-Cal,21,health,,,California Health and Human Services Open Data Portal,21,,,,,,,,,,
Vegetation,20,,food,,California Natural Resources Agency Data Portal,20,,,,,,,,,,
multispecies,20,environment,,,California Natural Resources Agency Data Portal,20,,,,,,,,,,
Medi-Cal Eligibility,20,health,,,California Health and Human Services Open Data Portal,20,,,,,,,,,,
Community,21,community-economic-development,,,City of Long Beach Data Portal,20,California Natural Resources Agency Data Portal,1,,,,,,,,
