term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
Public Facilities,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Public+Facilities%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Public+Facilities%22"", ""1"")",,,,,,,,,,
microlepidotus,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22microlepidotus%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22microlepidotus%22"", ""1"")",,,,,,,,,,
 priority infiltration areas,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22+priority+infiltration+areas%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22+priority+infiltration+areas%22"", ""1"")",,,,,,,,,,
Priority Corridors Vision Zero,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Priority+Corridors+Vision+Zero%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Priority+Corridors+Vision+Zero%22"", ""1"")",,,,,,,,,,
Mid-depth,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Mid-depth%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22Mid-depth%22"", ""1"")",,,,,,,,,,
Mid-depth Rock,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Mid-depth+Rock%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22Mid-depth+Rock%22"", ""1"")",,,,,,,,,,
mid-depth rocky,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22mid-depth+rocky%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22mid-depth+rocky%22"", ""1"")",,,,,,,,,,
prioritized intersections,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22prioritized+intersections%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22prioritized+intersections%22"", ""1"")",,,,,,,,,,
building-permits,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22building-permits%22"", ""1"")",community-economic-development,,,"=HYPERLINK(""https://data.lacity.org"", ""Los Angeles Open Data"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Los+Angeles+Open+Data%22+AND+tags%3A%22building-permits%22"", ""1"")",,,,,,,,,,
migratoriusUrsus,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22migratoriusUrsus%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22migratoriusUrsus%22"", ""1"")",,,,,,,,,,
milleri,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22milleri%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22milleri%22"", ""1"")",,,,,,,,,,
nadac-comparison,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22nadac-comparison%22"", ""1"")",,,,"=HYPERLINK(""https://data.medicaid.gov"", ""Data.Medicaid.gov"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Data.Medicaid.gov%22+AND+tags%3A%22nadac-comparison%22"", ""1"")",,,,,,,,,,
preventive health,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22preventive+health%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22preventive+health%22"", ""1"")",,,,,,,,,,
minimaButeo,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22minimaButeo%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22minimaButeo%22"", ""1"")",,,,,,,,,,
national-totals,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22national-totals%22"", ""1"")",,,,"=HYPERLINK(""https://data.medicaid.gov"", ""Data.Medicaid.gov"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Data.Medicaid.gov%22+AND+tags%3A%22national-totals%22"", ""1"")",,,,,,,,,,
Port of Los Angeles,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Port+of+Los+Angeles%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Port+of+Los+Angeles%22"", ""1"")",,,,,,,,,,
